"","x"
"1","green"
"2","black"
"3","red"
"4","yellow"
"5","yellow"
"6","salmon"
"7","brown"
"8","lightgreen"
"9","yellow"
"10","darkgreen"
"11","brown"
"12","brown"
"13","blue"
"14","yellow"
"15","purple"
"16","magenta"
"17","turquoise"
"18","yellow"
"19","lightgreen"
"20","blue"
"21","white"
"22","yellow"
"23","yellow"
"24","yellow"
"25","yellow"
"26","lightgreen"
"27","skyblue"
"28","brown"
"29","turquoise"
"30","white"
"31","turquoise"
"32","lightgreen"
"33","brown"
"34","blue"
"35","pink"
"36","blue"
"37","blue"
"38","turquoise"
"39","pink"
"40","blue"
"41","turquoise"
"42","darkgreen"
"43","yellow"
"44","lightcyan"
"45","yellow"
"46","blue"
"47","magenta"
"48","tan"
"49","red"
"50","red"
"51","cyan"
"52","turquoise"
"53","turquoise"
"54","turquoise"
"55","turquoise"
"56","saddlebrown"
"57","blue"
"58","turquoise"
"59","turquoise"
"60","darkorange"
"61","blue"
"62","magenta"
"63","red"
"64","red"
"65","tan"
"66","grey"
"67","purple"
"68","darkorange"
"69","darkgrey"
"70","turquoise"
"71","yellow"
"72","yellow"
"73","blue"
"74","yellow"
"75","cyan"
"76","blue"
"77","cyan"
"78","darkturquoise"
"79","darkred"
"80","lightcyan"
"81","midnightblue"
"82","greenyellow"
"83","blue"
"84","white"
"85","pink"
"86","skyblue"
"87","darkgrey"
"88","purple"
"89","darkgrey"
"90","brown"
"91","salmon"
"92","grey60"
"93","lightyellow"
"94","pink"
"95","turquoise"
"96","lightcyan"
"97","brown"
"98","turquoise"
"99","pink"
"100","blue"
"101","black"
"102","darkturquoise"
"103","darkturquoise"
"104","green"
"105","pink"
"106","turquoise"
"107","blue"
"108","darkgreen"
"109","salmon"
"110","darkturquoise"
"111","black"
"112","lightcyan"
"113","grey"
"114","pink"
"115","green"
"116","brown"
"117","tan"
"118","midnightblue"
"119","black"
"120","pink"
"121","yellow"
"122","brown"
"123","darkred"
"124","magenta"
"125","turquoise"
"126","brown"
"127","tan"
"128","pink"
"129","darkgrey"
"130","salmon"
"131","yellow"
"132","skyblue"
"133","turquoise"
"134","brown"
"135","blue"
"136","orange"
"137","magenta"
"138","brown"
"139","darkorange"
"140","blue"
"141","yellow"
"142","turquoise"
"143","lightgreen"
"144","turquoise"
"145","salmon"
"146","lightgreen"
"147","brown"
"148","yellow"
"149","turquoise"
"150","brown"
"151","darkgreen"
"152","turquoise"
"153","darkred"
"154","skyblue"
"155","turquoise"
"156","darkgreen"
"157","yellow"
"158","purple"
"159","midnightblue"
"160","turquoise"
"161","grey60"
"162","darkgrey"
"163","yellow"
"164","lightyellow"
"165","royalblue"
"166","greenyellow"
"167","greenyellow"
"168","lightgreen"
"169","greenyellow"
"170","red"
"171","turquoise"
"172","black"
"173","turquoise"
"174","turquoise"
"175","yellow"
"176","turquoise"
"177","black"
"178","turquoise"
"179","skyblue"
"180","turquoise"
"181","lightcyan"
"182","cyan"
"183","blue"
"184","green"
"185","turquoise"
"186","turquoise"
"187","turquoise"
"188","pink"
"189","red"
"190","darkturquoise"
"191","blue"
"192","green"
"193","blue"
"194","magenta"
"195","midnightblue"
"196","red"
"197","salmon"
"198","turquoise"
"199","red"
"200","blue"
"201","cyan"
"202","black"
"203","salmon"
"204","blue"
"205","blue"
"206","grey60"
"207","cyan"
"208","turquoise"
"209","lightcyan"
"210","pink"
